condition,drugName,sentiment_score,sentiment_label
Depression,L-methylfolate,0.2525,Positive
Depression,Sertraline,0.0,Neutral
Depression,Venlafaxine,-0.07106227106227109,Neutral
"Diabetes, Type 2",Dulaglutide,0.21000000000000002,Positive
Depression,Effexor XR,0.18575757575757576,Positive
Depression,Wellbutrin,0.05000000000000001,Neutral
Depression,Aripiprazole,0.06999999999999999,Neutral
High Blood Pressure,Amlodipine / olmesartan,0.06666666666666667,Neutral
Depression,Desvenlafaxine,0.3408163265306123,Positive
"Diabetes, Type 2",Dulaglutide,0.0771164021164021,Neutral
Depression,Fluoxetine,0.07333333333333333,Neutral
Depression,Bupropion,0.09285714285714286,Neutral
Depression,Trintellix,0.029861111111111116,Neutral
"Diabetes, Type 2",Liraglutide,0.06250000000000003,Neutral
Depression,Bupropion,0.20757575757575755,Positive
High Blood Pressure,Lisinopril,0.16833333333333333,Positive
"Diabetes, Type 2",Empagliflozin,0.18055555555555558,Positive
High Blood Pressure,Metoprolol,0.061111111111111116,Neutral
Depression,Fluoxetine,0.12023809523809524,Positive
"Diabetes, Type 2",Victoza,0.22708333333333333,Positive
Depression,Trazodone,0.1,Neutral
Depression,Pristiq,0.23787878787878788,Positive
Depression,Levomilnacipran,0.07272727272727271,Neutral
"Diabetes, Type 2",Liraglutide,0.25833333333333336,Positive
"Diabetes, Type 2",Liraglutide,0.1716666666666667,Positive
Depression,Desvenlafaxine,0.33125000000000004,Positive
Depression,Cymbalta,0.22307692307692303,Positive
"Diabetes, Type 2",Exenatide,0.1357142857142857,Positive
"Diabetes, Type 2",Bydureon,0.06217757936507936,Neutral
"Diabetes, Type 2",Victoza,0.25833333333333336,Positive
"Diabetes, Type 2",Victoza,0.0,Neutral
Depression,Escitalopram,0.17439393939393938,Positive
Depression,Venlafaxine,0.0,Neutral
Depression,Nardil,0.2666666666666667,Positive
Depression,Zoloft,-0.14545454545454542,Negative
Depression,Trazodone,0.55,Positive
High Blood Pressure,Prazosin,0.10909090909090909,Positive
"Diabetes, Type 2",Dulaglutide,-0.008854166666666663,Neutral
Depression,Methylphenidate,0.0,Neutral
Depression,Escitalopram,0.05686274509803922,Neutral
Depression,Bupropion,0.30357142857142855,Positive
"Diabetes, Type 2",Exenatide,0.044642857142857144,Neutral
Depression,Wellbutrin XL,0.016666666666666663,Neutral
High Blood Pressure,Metoprolol,-0.3,Negative
Depression,Lexapro,0.18333333333333335,Positive
Depression,Pristiq,0.26249999999999996,Positive
Depression,Zoloft,-0.09523809523809523,Neutral
Depression,Sertraline,-0.021875000000000002,Neutral
"Diabetes, Type 2",Exenatide,0.05347222222222223,Neutral
Depression,Venlafaxine,-0.024489795918367346,Neutral
